City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
319,Bengkulu,ID,-3.8004,102.2655,76.19,90,100,3.89,very heavy rain
320,Farim,GW,12.4839,-15.2217,85.15,14,99,5.46,overcast clouds
321,Sioux Lookout,CA,50.1001,-91.917,10.78,79,100,3.44,overcast clouds
322,Hay River,CA,60.8156,-115.7999,-2.22,78,75,6.91,light snow
323,Dhankuta,NP,26.9833,87.3333,43.56,79,48,4.12,scattered clouds
324,Sarangani,PH,5.4033,125.4636,80.8,75,94,6.98,overcast clouds
325,Inhambane,MZ,-23.865,35.3833,75.54,79,82,9.06,broken clouds
326,Chiredzi,ZW,-21.05,31.6667,74.75,70,8,4.76,clear sky
327,Wilmington,US,34.2257,-77.9447,40.93,50,20,20.71,few clouds
328,Shingu,JP,33.7333,135.9833,38.01,74,94,6.69,overcast clouds
329,Sabzevar,IR,36.2126,57.6819,39.45,41,3,1.68,clear sky
330,Monte Alegre,BR,-2.0078,-54.0692,72.93,98,100,3.47,overcast clouds
331,Repalle,IN,16.0167,80.85,67.01,92,6,3.2,clear sky
332,Flagstaff,US,35.1981,-111.6513,51.46,21,0,1.99,clear sky
333,Cabo San Lucas,MX,22.8909,-109.9124,83.5,58,0,4.0,clear sky
334,Jiuquan,CN,39.7432,98.5174,14.79,59,6,5.23,clear sky
335,Makat,KZ,47.6469,53.3463,24.58,96,100,10.87,light snow
336,Natal,BR,-5.795,-35.2094,82.62,74,75,10.36,broken clouds
337,Nome,US,64.5011,-165.4064,-9.33,59,0,0.0,clear sky
338,Byron Bay,AU,-28.65,153.6167,71.87,84,65,8.14,broken clouds
339,Brandon,US,27.9378,-82.2859,53.92,49,0,3.0,clear sky
340,Gazli,UZ,40.1333,63.45,36.07,67,2,7.43,clear sky
341,Alushta,UA,44.6667,34.4167,37.27,79,74,9.08,broken clouds
342,Norman Wells,CA,65.282,-126.8329,-21.96,69,20,3.44,few clouds
343,Medenychi,UA,49.4305,23.7507,33.3,74,100,22.53,light snow
344,Brenham,US,30.1669,-96.3977,65.16,27,0,6.91,clear sky
345,Dhupgari,IN,26.5858,89.0145,54.7,61,0,3.13,clear sky
